Field_ID,Year,Crop,Previous_Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Organic_Matter,Rainfall,Avg_Temperature,NDVI,Irrigation,Fertilizer_Type,Yield,Recommended_Next_Crop,Sustainable_Practice
578,2023,Wheat,Maize,6.0,58,18,155,2.7,544,25.3,0.73,None,Organic,8.38,Legume,Compost
425,2020,Barley,Rice,6.0,59,16,125,3.5,541,18.5,0.63,None,Organic,7.81,Legume,Compost
183,2023,Rice,Barley,6.9,47,15,127,2.6,753,28.8,0.69,Drip,Organic,8.99,Wheat,Compost
383,2019,Rice,Maize,5.6,41,16,142,2.8,527,26.0,0.64,Sprinkler,Chemical,7.62,Wheat,Compost
599,2022,Legume,Maize,7.4,37,20,131,3.8,412,20.2,0.78,Drip,Organic,8.52,Legume,Reduced tillage
237,2019,Legume,Wheat,6.3,31,30,134,2.8,635,22.2,0.76,None,None,7.32,Wheat,Compost
438,2019,Rice,Soybean,6.1,32,23,142,3.5,604,26.2,0.76,Drip,None,8.84,Wheat,Cover crop
160,2020,Maize,Barley,7.4,38,16,126,3.4,576,26.7,0.63,Sprinkler,Organic,8.34,Wheat,Cover crop
160,2021,Barley,Maize,6.0,52,28,120,3.3,675,26.2,0.79,Sprinkler,Organic,9.55,Legume,Reduced tillage
287,2021,Wheat,Legume,7.3,49,25,127,3.6,553,24.1,0.72,Drip,Chemical,8.88,Legume,Compost
384,2019,Maize,Rice,6.8,42,20,159,3.4,607,24.6,0.55,Drip,None,7.58,Wheat,Cover crop
321,2022,Barley,Legume,6.1,44,29,133,3.3,776,20.0,0.57,Sprinkler,Organic,7.0,Legume,Compost
148,2019,Legume,Soybean,5.9,36,19,121,2.6,643,25.3,0.74,Drip,Chemical,8.03,Legume,Compost
395,2019,Legume,Legume,6.3,42,22,129,3.5,402,28.7,0.77,None,Chemical,8.25,Maize,Reduced tillage
512,2023,Barley,Rice,5.6,37,18,149,2.7,637,26.0,0.8,Sprinkler,Chemical,8.62,Legume,Compost
587,2021,Barley,Legume,7.3,43,29,130,3.6,643,23.4,0.74,Sprinkler,Chemical,8.8,Legume,None
421,2019,Soybean,Rice,5.7,39,22,137,3.0,676,19.0,0.59,Drip,Organic,6.71,Maize,Reduced tillage
133,2021,Rice,Soybean,6.6,43,16,133,3.7,599,28.9,0.7,Sprinkler,None,8.72,Wheat,Cover crop
539,2022,Rice,Rice,5.5,41,24,144,3.8,614,24.5,0.73,Sprinkler,None,9.04,Wheat,Cover crop
350,2019,Soybean,Rice,6.5,42,25,145,3.6,639,29.0,0.8,Sprinkler,None,8.94,Rice,Cover crop
143,2023,Rice,Maize,7.2,35,16,136,3.1,508,23.5,0.63,Drip,Chemical,7.42,Wheat,Cover crop
486,2021,Soybean,Wheat,6.4,53,16,142,2.8,435,27.4,0.71,None,None,7.52,Maize,Compost
530,2018,Barley,Maize,6.0,45,18,156,3.9,638,26.4,0.74,None,Organic,8.63,Legume,Cover crop
499,2019,Soybean,Wheat,6.7,59,24,156,3.5,592,22.8,0.73,None,Organic,8.94,Legume,Reduced tillage
153,2023,Soybean,Legume,6.7,33,16,142,3.3,738,22.4,0.68,Drip,None,7.43,Rice,None
155,2021,Soybean,Legume,7.3,44,19,147,2.8,667,29.6,0.62,Sprinkler,Chemical,7.17,Rice,Compost
324,2023,Barley,Soybean,6.1,37,17,137,3.8,524,27.0,0.69,Sprinkler,Chemical,7.78,Legume,Compost
115,2021,Soybean,Maize,6.5,41,23,141,2.9,705,26.4,0.62,None,Organic,6.81,Maize,Compost
144,2019,Legume,Rice,6.5,54,22,150,3.5,651,23.4,0.55,Drip,None,7.09,Rice,Reduced tillage
257,2023,Barley,Soybean,6.4,46,26,147,4.0,681,22.0,0.73,Drip,Chemical,9.33,Legume,Compost
219,2018,Legume,Maize,6.1,53,20,132,2.8,647,21.3,0.7,Sprinkler,Organic,8.32,Soybean,Compost
152,2019,Soybean,Maize,6.2,39,15,154,2.7,423,29.7,0.69,Sprinkler,None,6.74,Legume,Compost
545,2021,Wheat,Wheat,6.6,45,30,148,3.0,426,21.0,0.77,None,None,7.8,Legume,None
352,2018,Barley,Legume,6.9,34,19,156,3.9,443,29.9,0.58,Drip,Organic,6.31,Legume,Reduced tillage
498,2022,Rice,Rice,7.3,39,28,139,3.4,430,25.3,0.74,None,Organic,8.4,Wheat,Cover crop
209,2020,Legume,Wheat,5.8,35,17,130,2.5,630,26.3,0.67,None,None,6.46,Soybean,Compost
462,2020,Legume,Rice,5.6,37,23,160,3.4,501,23.1,0.69,Sprinkler,None,7.16,Soybean,Reduced tillage
137,2018,Maize,Soybean,6.7,56,24,148,2.7,752,21.6,0.65,Drip,Organic,9.93,Wheat,Compost
377,2021,Rice,Wheat,6.7,58,28,140,3.4,413,19.1,0.79,Sprinkler,Organic,10.3,Wheat,Cover crop
587,2018,Legume,Soybean,6.7,54,20,150,3.3,626,29.0,0.6,Sprinkler,Chemical,7.68,Legume,None
597,2018,Rice,Soybean,6.3,40,18,130,3.0,755,23.9,0.72,Drip,Organic,9.17,Wheat,Cover crop
119,2021,Wheat,Soybean,6.0,33,27,152,3.7,400,25.9,0.69,Drip,None,7.03,Legume,Reduced tillage
366,2020,Barley,Rice,6.8,54,16,133,2.9,467,29.1,0.66,Sprinkler,Chemical,7.77,Legume,Compost
163,2018,Legume,Barley,7.1,52,20,139,3.3,682,22.9,0.61,None,Chemical,7.57,Wheat,Reduced tillage
356,2023,Soybean,Barley,6.9,43,30,150,2.9,682,19.7,0.6,Sprinkler,Organic,6.86,Legume,Compost
551,2019,Wheat,Soybean,7.0,57,28,141,3.9,659,21.2,0.55,Sprinkler,Chemical,7.7,Legume,None
544,2019,Rice,Barley,6.5,40,27,149,3.9,496,29.8,0.61,Drip,None,7.56,Wheat,Cover crop
539,2021,Wheat,Soybean,7.0,52,27,144,4.0,733,29.8,0.67,None,None,8.27,Legume,Compost
546,2018,Rice,Wheat,6.6,44,15,129,3.1,735,29.6,0.57,Drip,Chemical,7.79,Wheat,Cover crop
420,2023,Rice,Legume,5.7,40,27,140,3.4,788,23.9,0.69,Sprinkler,None,8.7,Wheat,Cover crop
221,2023,Legume,Soybean,7.5,53,17,147,4.0,789,25.6,0.77,Drip,None,9.9,Legume,Compost
563,2018,Wheat,Soybean,7.1,39,26,143,3.1,525,24.4,0.69,None,None,6.95,Legume,Reduced tillage
141,2022,Rice,Barley,6.9,45,19,134,3.2,530,23.5,0.72,Drip,Chemical,9.23,Wheat,Cover crop
447,2022,Maize,Wheat,6.4,41,24,160,3.9,753,21.0,0.76,None,Chemical,10.84,Wheat,Cover crop
537,2021,Wheat,Maize,6.3,41,24,138,2.5,737,22.7,0.55,Sprinkler,Organic,6.13,Legume,Compost
599,2018,Barley,Legume,6.5,58,24,134,3.4,580,20.6,0.6,Drip,Organic,7.85,Legume,Reduced tillage
422,2018,Legume,Legume,5.6,55,29,122,3.4,774,19.6,0.78,Drip,Organic,10.06,Rice,Reduced tillage
203,2019,Barley,Soybean,6.6,59,23,130,2.9,646,29.6,0.62,Drip,None,7.76,Legume,Compost
340,2018,Maize,Maize,7.2,53,27,155,3.0,602,18.2,0.68,Drip,Chemical,10.13,Wheat,Cover crop
445,2023,Legume,Soybean,6.7,56,26,126,3.5,641,18.3,0.77,Sprinkler,Chemical,9.77,Barley,Reduced tillage
432,2018,Legume,Rice,7.3,39,28,127,2.7,419,21.7,0.67,None,None,6.34,Barley,Compost
170,2021,Rice,Soybean,6.8,53,28,157,3.6,479,28.6,0.71,Drip,Organic,9.53,Wheat,Cover crop
309,2020,Wheat,Legume,6.2,44,29,135,3.8,450,29.8,0.64,Sprinkler,Chemical,7.46,Legume,Cover crop
304,2020,Maize,Wheat,7.4,56,29,125,3.5,728,25.7,0.79,None,Chemical,11.85,Wheat,Cover crop
225,2019,Barley,Maize,5.6,54,21,157,2.8,519,21.9,0.59,Sprinkler,None,6.73,Legume,Compost
242,2019,Maize,Barley,6.0,35,18,121,2.7,583,27.5,0.61,Drip,None,7.39,Wheat,Compost
190,2020,Wheat,Maize,7.0,46,18,124,3.2,798,22.3,0.7,Drip,Organic,8.65,Legume,Reduced tillage
585,2022,Wheat,Legume,7.1,57,24,149,3.5,415,18.7,0.67,Drip,Chemical,8.41,Legume,Cover crop
352,2023,Rice,Wheat,7.3,40,19,124,2.7,719,25.6,0.69,Drip,Chemical,8.72,Wheat,Compost
406,2022,Soybean,Rice,6.5,43,18,127,3.8,733,28.5,0.69,None,Chemical,8.31,Rice,Reduced tillage
312,2020,Rice,Rice,6.3,33,25,147,3.0,530,22.5,0.59,Drip,None,6.48,Wheat,Cover crop
147,2018,Wheat,Rice,5.7,53,26,128,3.3,700,29.5,0.69,Sprinkler,None,8.34,Legume,None
282,2023,Rice,Legume,5.6,39,24,142,2.7,659,20.6,0.71,None,None,7.94,Wheat,Compost
280,2022,Soybean,Wheat,7.0,48,22,147,3.8,792,27.8,0.7,Sprinkler,Organic,8.89,Wheat,Compost
115,2019,Soybean,Legume,7.0,59,25,142,2.5,473,24.8,0.65,None,Organic,7.36,Legume,Compost
598,2018,Wheat,Legume,6.6,42,28,149,3.0,589,21.7,0.63,Sprinkler,Organic,6.98,Legume,Cover crop
553,2018,Maize,Maize,7.0,31,17,137,3.2,617,23.8,0.66,Drip,None,8.17,Wheat,Cover crop
487,2022,Wheat,Soybean,6.4,39,30,153,3.5,423,20.6,0.8,None,None,8.05,Legume,Reduced tillage
255,2019,Maize,Soybean,6.1,33,15,151,3.6,489,19.6,0.68,None,Organic,8.32,Wheat,Cover crop
387,2023,Soybean,Wheat,6.3,53,16,147,2.5,439,28.3,0.69,Sprinkler,Chemical,7.76,Legume,Compost
428,2021,Soybean,Wheat,6.3,60,25,130,3.7,716,23.5,0.72,Drip,None,9.43,Rice,Cover crop
225,2021,Barley,Rice,6.5,42,24,141,2.8,798,20.0,0.68,None,Organic,7.62,Legume,Compost
362,2019,Soybean,Soybean,7.0,56,19,135,2.7,531,20.4,0.7,Sprinkler,None,7.94,Maize,Compost
588,2023,Rice,Rice,7.0,54,29,156,3.5,719,21.9,0.79,Drip,None,10.73,Wheat,Cover crop
326,2018,Rice,Rice,6.8,55,23,157,2.6,659,18.9,0.67,None,None,8.32,Wheat,Compost
289,2020,Wheat,Legume,7.2,57,17,159,3.4,596,23.6,0.69,Sprinkler,None,8.39,Legume,None
566,2022,Legume,Maize,6.1,45,19,123,3.2,575,29.8,0.57,Sprinkler,None,6.39,Wheat,Reduced tillage
463,2021,Rice,Barley,6.5,35,26,143,3.9,598,22.9,0.63,Sprinkler,None,7.59,Wheat,Cover crop
505,2023,Legume,Soybean,5.6,33,27,138,2.9,736,29.6,0.7,None,Chemical,7.43,Wheat,Compost
399,2023,Maize,Soybean,6.1,50,27,128,3.4,443,21.7,0.64,Drip,None,8.8,Wheat,Cover crop
444,2023,Legume,Legume,7.3,32,28,152,3.0,585,21.7,0.79,Drip,Chemical,8.46,Maize,Reduced tillage
171,2019,Wheat,Soybean,7.2,33,16,141,3.8,716,19.6,0.64,None,None,6.88,Legume,Reduced tillage
470,2021,Wheat,Rice,6.2,53,22,148,3.4,785,27.0,0.66,Sprinkler,None,8.26,Legume,Compost
595,2021,Maize,Soybean,6.9,48,29,149,3.7,798,22.6,0.68,None,None,9.78,Wheat,Cover crop
511,2022,Maize,Soybean,5.6,45,26,155,3.9,764,28.2,0.76,Drip,None,11.12,Wheat,Cover crop
491,2019,Soybean,Rice,7.3,34,28,125,3.9,513,27.8,0.77,None,Chemical,8.27,Wheat,None
358,2020,Maize,Rice,7.5,41,22,121,3.0,450,28.1,0.71,None,None,8.46,Wheat,Cover crop
120,2020,Rice,Legume,7.2,54,30,148,3.4,440,18.2,0.6,None,Organic,7.68,Wheat,Cover crop
582,2023,Barley,Barley,6.3,54,24,135,3.0,424,20.9,0.71,Sprinkler,Chemical,8.27,Legume,Cover crop
157,2021,Barley,Barley,5.5,46,22,129,2.9,400,25.4,0.61,Drip,None,6.46,Legume,Compost
441,2023,Wheat,Barley,7.4,32,15,144,3.8,422,25.6,0.8,Drip,Organic,8.48,Legume,Cover crop
283,2018,Soybean,Maize,7.0,50,18,157,3.6,570,19.6,0.64,Drip,Organic,7.94,Maize,None
457,2021,Legume,Maize,7.1,32,29,122,2.9,422,27.5,0.77,Drip,Chemical,7.82,Barley,Compost
304,2022,Rice,Soybean,5.6,50,21,138,3.0,799,18.6,0.71,Drip,None,9.47,Wheat,Cover crop
510,2020,Rice,Rice,7.0,58,27,141,4.0,654,26.3,0.64,Sprinkler,Chemical,9.65,Wheat,Cover crop
511,2018,Legume,Rice,5.7,49,20,154,2.9,452,19.0,0.72,Drip,Chemical,8.27,Barley,Compost
468,2021,Maize,Legume,6.4,44,16,142,3.4,622,21.3,0.8,None,None,10.37,Wheat,Cover crop
444,2023,Rice,Soybean,6.5,53,20,121,2.7,711,26.1,0.66,None,None,8.27,Wheat,Compost
221,2023,Soybean,Soybean,6.3,48,16,158,2.7,630,29.4,0.64,None,Organic,7.12,Maize,Compost
372,2020,Rice,Soybean,6.8,37,18,121,3.6,655,24.2,0.78,None,Chemical,9.54,Wheat,Cover crop
497,2020,Legume,Rice,5.9,49,24,151,2.8,469,28.2,0.66,Sprinkler,Chemical,7.45,Wheat,Compost
515,2023,Soybean,Legume,6.2,32,24,139,3.8,764,26.5,0.73,None,Chemical,8.22,Barley,Reduced tillage
163,2019,Maize,Maize,7.1,30,26,155,3.4,639,27.6,0.69,Sprinkler,None,8.5,Wheat,Cover crop
134,2020,Rice,Legume,6.9,46,28,146,3.7,437,19.5,0.63,None,Chemical,7.88,Wheat,Cover crop
339,2023,Barley,Soybean,5.8,56,20,128,3.1,428,28.0,0.68,Drip,None,7.88,Legume,Reduced tillage
266,2023,Maize,Soybean,7.4,46,24,125,2.9,725,29.5,0.62,Sprinkler,Chemical,8.95,Wheat,Compost
415,2022,Wheat,Barley,6.8,48,19,130,3.5,768,28.8,0.63,Sprinkler,None,7.71,Legume,Cover crop
142,2018,Legume,Barley,6.0,36,28,159,3.5,654,28.7,0.69,Sprinkler,Chemical,7.85,Rice,Reduced tillage
513,2023,Rice,Soybean,6.4,52,16,130,3.2,647,23.6,0.64,None,Chemical,8.54,Wheat,Cover crop
542,2023,Soybean,Legume,7.5,41,27,128,3.6,663,24.7,0.63,Drip,None,7.32,Soybean,None
227,2019,Wheat,Wheat,6.1,42,28,135,3.9,481,27.8,0.78,Sprinkler,Chemical,8.99,Legume,Reduced tillage
491,2019,Rice,Barley,6.4,58,24,151,2.5,601,24.1,0.79,None,Organic,9.92,Wheat,Compost
281,2018,Wheat,Soybean,6.5,58,30,138,3.3,455,23.2,0.77,Sprinkler,Chemical,9.37,Legume,None
288,2018,Rice,Wheat,6.6,36,26,155,2.9,597,24.1,0.74,Drip,Organic,8.74,Wheat,Compost
449,2022,Wheat,Maize,7.5,42,26,141,3.3,587,27.1,0.6,Sprinkler,Chemical,6.95,Legume,Cover crop
124,2018,Maize,Legume,6.2,45,29,129,3.4,663,19.7,0.78,Drip,None,10.81,Wheat,Cover crop
302,2022,Legume,Soybean,6.7,46,30,156,2.9,408,22.4,0.72,Drip,Organic,7.86,Soybean,Compost
508,2023,Legume,Legume,5.6,45,23,157,3.4,769,18.6,0.67,Sprinkler,Organic,8.16,Legume,None
176,2023,Maize,Wheat,6.6,52,18,132,2.5,560,23.0,0.65,None,Chemical,8.78,Wheat,Compost
357,2022,Rice,Legume,7.0,52,19,153,2.8,566,30.0,0.67,Drip,Chemical,8.89,Wheat,Compost
590,2019,Rice,Barley,6.2,41,23,159,3.2,526,21.3,0.62,Drip,Chemical,7.76,Wheat,Cover crop
461,2019,Legume,Legume,6.5,45,26,155,3.9,769,21.3,0.58,Sprinkler,Organic,7.47,Rice,None
520,2020,Maize,Soybean,5.6,60,17,142,3.9,735,21.1,0.67,None,Organic,10.65,Wheat,Cover crop
239,2022,Legume,Soybean,5.8,49,22,135,2.6,671,20.7,0.61,None,Chemical,7.03,Soybean,Compost
468,2021,Wheat,Legume,7.0,30,20,146,3.5,643,23.7,0.6,Drip,Chemical,6.65,Legume,Compost
431,2018,Wheat,Legume,6.6,47,16,131,3.1,490,29.2,0.56,Drip,Chemical,6.59,Legume,Reduced tillage
580,2023,Soybean,Wheat,5.5,48,18,141,2.9,728,24.5,0.67,None,Organic,7.73,Rice,Compost
240,2019,Wheat,Soybean,5.8,44,23,131,2.5,572,27.5,0.69,None,None,6.99,Legume,Compost
413,2023,Rice,Rice,6.5,32,27,126,2.8,471,23.7,0.78,None,Chemical,8.36,Wheat,Compost
297,2019,Rice,Soybean,7.4,39,15,136,3.5,754,20.8,0.72,Drip,Chemical,9.59,Wheat,Cover crop
182,2021,Legume,Barley,7.3,58,24,127,3.5,551,22.4,0.61,None,Chemical,7.72,Maize,None
483,2022,Soybean,Rice,6.9,59,30,154,3.7,511,27.1,0.72,Sprinkler,None,8.78,Barley,None
371,2023,Soybean,Wheat,7.3,33,16,155,3.9,503,24.9,0.59,Drip,Organic,6.5,Rice,Cover crop
449,2019,Legume,Barley,6.5,58,29,123,3.2,662,23.0,0.69,Sprinkler,Chemical,8.89,Legume,Compost
471,2018,Rice,Soybean,7.1,53,21,157,2.6,616,22.1,0.57,None,None,7.02,Wheat,Compost
579,2021,Wheat,Soybean,6.3,54,19,146,3.1,595,23.4,0.78,Drip,Chemical,9.64,Legume,Cover crop
450,2023,Barley,Maize,6.8,41,18,131,4.0,601,24.3,0.73,None,None,8.05,Legume,Cover crop
601,2020,Rice,Legume,6.9,43,27,134,2.9,577,19.9,0.6,Sprinkler,None,7.09,Wheat,Compost
117,2023,Rice,Barley,7.0,58,15,135,2.8,451,25.1,0.66,Sprinkler,Organic,8.52,Wheat,Compost
547,2018,Maize,Legume,5.6,44,22,154,2.8,797,18.7,0.68,Drip,None,9.44,Wheat,Compost
518,2023,Barley,Soybean,6.7,54,25,135,3.0,473,29.8,0.68,Drip,Chemical,8.21,Legume,Compost
132,2022,Barley,Legume,7.3,50,28,155,3.2,576,29.3,0.72,Sprinkler,Chemical,8.6,Legume,None
310,2019,Soybean,Rice,5.9,47,30,135,3.8,553,28.3,0.59,Drip,None,7.09,Barley,None
596,2021,Barley,Barley,5.8,37,23,133,3.0,440,29.1,0.76,None,Organic,7.55,Legume,Reduced tillage
127,2020,Rice,Legume,6.7,31,17,132,3.7,700,26.7,0.69,Drip,None,8.32,Wheat,Cover crop
546,2020,Soybean,Wheat,5.9,36,18,150,3.9,756,25.3,0.6,None,Organic,6.96,Soybean,Compost
295,2021,Barley,Legume,6.2,38,26,152,3.8,638,19.2,0.8,Drip,Chemical,9.46,Legume,Reduced tillage
290,2020,Rice,Wheat,6.6,37,19,121,2.9,699,24.9,0.65,None,None,7.37,Wheat,Compost
269,2019,Rice,Barley,7.2,45,25,136,3.6,650,29.6,0.71,Drip,Chemical,9.64,Wheat,Cover crop
187,2023,Soybean,Maize,5.8,47,30,131,3.9,677,29.9,0.79,Sprinkler,None,9.33,Wheat,Cover crop
492,2018,Rice,Maize,7.2,37,17,129,2.5,658,23.5,0.57,Sprinkler,Organic,6.55,Wheat,Compost
579,2022,Rice,Legume,6.5,30,28,120,2.5,769,21.3,0.79,None,Organic,8.71,Wheat,Compost
517,2023,Legume,Rice,7.1,59,20,126,3.9,668,19.8,0.6,Sprinkler,Chemical,8.37,Soybean,Compost
508,2021,Wheat,Soybean,7.4,44,22,134,2.9,441,25.8,0.76,None,None,7.63,Legume,Compost
308,2021,Rice,Barley,6.5,50,15,130,2.6,622,25.7,0.63,None,Organic,7.75,Wheat,Compost
571,2018,Maize,Maize,7.3,52,30,137,2.6,438,26.2,0.62,Sprinkler,Organic,8.24,Wheat,Compost
437,2018,Maize,Soybean,5.5,36,19,145,3.9,553,19.9,0.61,Drip,Organic,8.38,Wheat,Cover crop
560,2022,Soybean,Rice,7.0,34,17,152,3.6,577,18.6,0.66,None,Chemical,7.09,Barley,None
597,2020,Wheat,Legume,6.0,44,30,134,3.0,592,23.2,0.72,Sprinkler,Chemical,8.2,Legume,Cover crop
496,2022,Soybean,Maize,6.9,32,23,129,3.1,724,19.9,0.65,Drip,None,6.93,Wheat,Cover crop
583,2020,Rice,Soybean,7.0,33,19,125,2.8,629,24.7,0.68,None,None,7.27,Wheat,Compost
146,2020,Barley,Wheat,6.7,55,25,144,2.5,611,22.7,0.57,Sprinkler,None,6.61,Legume,Compost
393,2022,Maize,Legume,6.3,34,23,139,2.9,474,18.8,0.66,Drip,Chemical,8.2,Wheat,Compost
348,2018,Soybean,Soybean,7.4,53,30,158,3.4,634,19.3,0.63,Drip,Chemical,8.18,Barley,None
512,2020,Rice,Soybean,6.4,56,19,139,3.0,755,20.4,0.63,Drip,Chemical,9.23,Wheat,Cover crop
250,2023,Legume,Legume,6.5,48,22,140,3.1,601,22.4,0.78,None,Organic,8.71,Barley,Reduced tillage
450,2022,Wheat,Legume,6.4,52,21,148,3.7,754,18.8,0.76,Drip,Organic,9.8,Legume,None
172,2023,Soybean,Maize,6.0,34,28,144,2.6,706,23.8,0.65,Sprinkler,Organic,6.8,Rice,Compost
379,2018,Soybean,Legume,7.3,47,17,126,3.7,736,26.0,0.59,Sprinkler,None,7.28,Barley,None
596,2020,Rice,Wheat,5.5,38,22,152,3.6,685,25.0,0.69,Drip,Chemical,9.06,Wheat,Cover crop
301,2021,Legume,Barley,6.9,34,26,121,3.2,551,23.0,0.79,None,Organic,8.04,Maize,Compost
260,2020,Rice,Maize,6.5,41,30,126,3.2,756,23.4,0.57,None,Organic,7.21,Wheat,Cover crop
159,2018,Soybean,Legume,5.7,55,20,135,3.3,682,19.9,0.69,Drip,None,8.57,Rice,Reduced tillage
196,2023,Legume,Rice,6.3,53,21,148,3.4,599,18.1,0.6,Drip,Organic,7.62,Wheat,Cover crop
510,2022,Maize,Soybean,6.2,44,18,136,3.5,650,24.3,0.71,Sprinkler,Chemical,10.19,Wheat,Cover crop
413,2021,Barley,Wheat,6.2,57,29,159,2.8,744,26.5,0.62,Sprinkler,Organic,7.89,Legume,Compost
144,2023,Maize,Soybean,5.7,39,18,131,3.1,472,24.1,0.65,None,Organic,7.96,Wheat,Cover crop
297,2021,Maize,Rice,6.8,52,20,155,2.8,547,19.7,0.63,Drip,Organic,8.95,Wheat,Compost
128,2020,Wheat,Rice,5.8,56,27,155,3.3,653,22.9,0.67,Sprinkler,Chemical,8.6,Legume,None
186,2018,Barley,Wheat,7.1,37,24,122,2.9,675,21.5,0.75,Sprinkler,Organic,8.12,Legume,Compost
496,2021,Barley,Barley,5.7,33,23,154,3.7,587,24.5,0.74,Sprinkler,Chemical,8.19,Legume,Reduced tillage
318,2018,Legume,Legume,7.0,39,16,148,2.9,444,23.3,0.8,None,None,7.79,Legume,Compost
402,2023,Soybean,Legume,6.7,43,20,159,2.7,505,27.8,0.75,Sprinkler,Chemical,8.12,Barley,Compost
244,2022,Barley,Maize,6.1,52,24,138,3.4,663,29.8,0.72,None,None,8.33,Legume,None
571,2018,Soybean,Legume,5.8,57,19,135,2.7,564,27.9,0.74,Sprinkler,Chemical,8.9,Rice,Compost
173,2022,Legume,Soybean,6.8,42,29,124,3.5,793,19.1,0.68,Drip,Organic,8.37,Soybean,None
587,2021,Soybean,Barley,5.5,54,17,149,3.5,757,22.3,0.57,Sprinkler,Chemical,7.75,Maize,None
523,2019,Rice,Soybean,6.1,39,25,155,3.4,689,28.2,0.75,Sprinkler,None,9.1,Wheat,Cover crop
124,2018,Legume,Rice,5.5,59,20,148,3.2,619,20.4,0.72,None,Organic,8.74,Soybean,Reduced tillage
548,2020,Wheat,Legume,6.2,32,26,130,2.6,720,21.7,0.72,None,Chemical,7.39,Legume,Compost
436,2018,Legume,Wheat,5.5,45,17,128,3.4,665,26.2,0.55,Sprinkler,Chemical,6.79,Wheat,None
456,2019,Rice,Wheat,6.0,32,18,126,3.0,553,19.6,0.74,None,Organic,8.05,Wheat,Cover crop
447,2019,Wheat,Barley,6.6,49,20,148,3.0,509,25.5,0.59,Drip,Organic,6.89,Legume,None
541,2019,Wheat,Wheat,5.8,33,27,142,3.9,561,27.5,0.61,Sprinkler,None,6.51,Legume,Reduced tillage
384,2022,Barley,Legume,6.7,54,15,139,2.8,710,24.1,0.74,Drip,Organic,9.11,Legume,Compost
128,2019,Rice,Rice,5.7,45,17,153,3.8,406,29.8,0.78,None,Chemical,9.54,Wheat,Cover crop
541,2022,Rice,Soybean,6.6,35,30,124,2.5,434,18.2,0.6,None,Chemical,6.2,Wheat,Compost
360,2020,Legume,Legume,6.5,43,28,145,2.6,674,24.5,0.59,None,Chemical,6.51,Wheat,Compost
